Source,Golden,Predicted by model,Is correct
шопенгауэра,шопенгауэр,шопенгауэр,true
кощунственность,кощунственность,кощунственность,true
вчерешнем,вчерешний,вчерешний,true
полузатопленная,полузатопленный,полузатопленный,true
золотобородого,золотобородый,золотобородый,true
булгартабака,булгартабак,булгартабак,true
майдановского,майдановский,майдановскый,false
пайеттом,пайетт,пайетт,true
праворадикальные,праворадикальный,праворадикальный,true
евромайданом,евромайдан,евромайдан,true
шестиметровый,шестиметровый,шестиметровый,true
обладминистрации,обладминистрация,обладминистрацие,false
голосеевском,голосеевский,голосеевскый,false
грушевского,грушевский,грушевскый,false
пшонки,пшонка,пшонка,true
файеры,файер,файер,true
батькивщины,батькивщина,батькивщина,true
кабмин,кабмин,кабмин,true
межигорье,межигорие,межигорие,true
гастарбайтеров,гастарбайтер,гастарбайтер,true
евроскептицизм,евроскептицизм,евроскептициз,false
русскоговорящие,русскоговорящий,русскоговорящий,true
госкорпорации,госкорпорация,госкорпорацие,false
моногородов,моногород,моногород,true
дистанционирующих,дистанционирующий,дистанционирующий,true
юрлица,юрлицо,юрлиц,false
пророссийские,пророссийский,пророссийский,true
тернера,тернер,тернер,true
одномандатникам,одномандатник,одномандатник,true
конкурентноспособны,конкурентноспособный,конкурентноспособн,false
одноногих,одноногий,одноногий,true
этничности,этничность,этничност,false
энергозависимости,энергозависимость,энергозависимост,false
ахиллы,ахилл,ахилл,true
прослушке,прослушка,прослушк,false
морпехов,морпех,морпех,true
шенгенскую,шенгенский,шенгенскый,false
целеполагание,целеполагание,целеполагание,true
деофшоризации,деофшоризация,деофшоризацие,false
кинологи,кинолог,кинолог,true
ассиметричный,ассиметричный,ассиметричный,true
прокремлевского,прокремлевский,прокремлевскый,false
одномандатникам,одномандатник,одномандатник,true
наукометрическими,наукометрический,наукометрический,true
полупустые,полупустой,полупустый,false
гипермаркетов,гипермаркет,гипермаркет,true
мультиканальной,мультиканальный,мультиканальный,true
госкорпорации,госкорпорация,госкорпорацие,false
гидроколонотерапию,гидроколонотерапия,гидроколонотерапие,false
упоминаемость,упоминаемость,упоминаемость,true
предстоятелю,предстоятель,предстоятеля,false
риелторы,риелтор,риелтор,true
имиджевые,имиджевый,имиджевый,true
радиовидимости,радиовидимость,радиовидимост,false
черкуновой,черкунова,черкунова,true
главклубе,главклуб,главклуб,true
команданте,командант,командант,true
стихотворенческим,стихотворенческий,стихотворенческий,true
однушку,однушка,однушк,false
мудаки,мудак,мудака,false
аудионосителей,аудионоситель,аудионосителея,false
пыленакопителями,пыленакопитель,пыленакопителя,false
пацанчик,пацанчик,пацанчики,false
стремные,стремный,стремный,true
андеграундных,андеграундный,андеграундный,true
радиоротации,радиоротация,радиоротацие,false
нопанки,нопанка,нопанка,true
липоевую,липоевый,липоевый,true
кровоснабжающих,кровоснабжающий,кровоснабжающий,true
консилера,консилер,консилер,true
чоповец,чоповец,чоповец,true
видеонаблюдения,видеонаблюдение,видеонаблюдение,true
навальнинцев,навальнинец,навальнинец,true
полторашку,полторашка,полторашк,false
обилечены,обилечен,обилечену,false
двукратным,двукратный,двукратный,true
вылегжаниным,вылегжанин,вылегжанин,true
эстфету,эстфета,эстфет,false
растояние,растояние,растояние,true
обескровленность,обескровленность,обескровленность,true
госкомпанией,госкомпания,госкомпаниея,false
раввинистический,раввинистический,раввинистический,true
этничности,этничность,этничност,false
нелегитимна,нелегитимен,нелегитимн,false
монтаны,монтана,монтана,true
фдерации,фдерация,фдерацие,false
совфеда,совфед,совфед,true

Accuracy: 63.2183908045977 %
